periode_data	wilayah	kecamatan	agama	jumlah
2023	KOTA ADMINISTRASI JAKARTA TIMUR	CAKUNG	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA BARAT	CENGKARENG	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA UTARA	CILINCING	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA UTARA	CILINCING	ISLAM/ KRISTEN/ HINDU/ BHUDA	2
2023	KOTA ADMINISTRASI JAKARTA TIMUR	CIPAYUNG	ISLAM	6
2023	KOTA ADMINISTRASI JAKARTA TIMUR	CIPAYUNG	ISLAM/ KRISTEN/ HINDU/ BHUDA	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	CIRACAS	ISLAM	4
2023	KOTA ADMINISTRASI JAKARTA TIMUR	CIRACAS	KRISTEN/ HINDU/ BHUDA	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	DUREN SAWIT	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA TIMUR	DUREN SAWIT	ISLAM/ KRISTEN/ HINDU/ BHUDA	3
2023	KOTA ADMINISTRASI JAKARTA SELATAN	JAGAKARSA	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA SELATAN	JAGAKARSA	ISLAM/ KRISTEN	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	JATINEGARA	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA TIMUR	JATINEGARA	ISLAM/ KRISTEN/ HINDU/ BHUDA	1
2023	KOTA ADMINISTRASI JAKARTA PUSAT	JOHAR BARU	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA BARAT	KALIDERES	ISLAM	4
2023	KOTA ADMINISTRASI JAKARTA BARAT	KALIDERES	KRISTEN	1
2023	KOTA ADMINISTRASI JAKARTA SELATAN	KEBAYORAN LAMA	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA SELATAN	KEBAYORAN LAMA	ISLAM/ KRISTEN/ HINDU/ BHUDA	1
2023	KOTA ADMINISTRASI JAKARTA BARAT	KEBON JERUK	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA BARAT	KEMBANGAN	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA BARAT	KEMBANGAN	ISLAM/ KRISTEN	1
2023	KOTA ADMINISTRASI JAKARTA UTARA	KOJA	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA TIMUR	KRAMAT JATI	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	MAKASAR	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA TIMUR	MAKASAR	ISLAM/ KRISTEN	1
2023	KOTA ADMINISTRASI JAKARTA BARAT	PALMERAH	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA SELATAN	PANCORAN	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA SELATAN	PASAR MINGGU	ISLAM	5
2023	KOTA ADMINISTRASI JAKARTA SELATAN	PASAR MINGGU	KRISTEN/ HINDU/ BHUDA	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	PASAR REBO	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA SELATAN	PESANGGRAHAN	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA TIMUR	PULO GADUNG	ISLAM	3
2023	KOTA ADMINISTRASI JAKARTA SELATAN	SETIABUDI	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA PUSAT	TANAH ABANG	ISLAM	2
2023	KOTA ADMINISTRASI JAKARTA PUSAT	TANAH ABANG	KRISTEN	1
2023	KOTA ADMINISTRASI JAKARTA UTARA	TANJUNG PRIOK	ISLAM	1
2023	KOTA ADMINISTRASI JAKARTA SELATAN	TEBET	ISLAM/ KRISTEN/ HINDU/ BHUDA	2
