"Day","Adver","Section"
"Monday","11","News"
"Monday","8","News"
"Monday","6","News"
"Monday","8","News"
"Tuesday","9","News"
"Tuesday","10","News"
"Tuesday","10","News"
"Tuesday","12","News"
"Wednesday","8","News"
"Wednesday","9","News"
"Wednesday","9","News"
"Wednesday","11","News"
"Thrusday","4","News"
"Thrusday","5","News"
"Thrusday","3","News"
"Thrusday","5","News"
"Friday","13","News"
"Friday","12","News"
"Friday","11","News"
"Friday","14","News"
"Monday","10","Business"
"Monday","12","Business"
"Monday","13","Business"
"Monday","11","Business"
"Tuesday","7","Business"
"Tuesday","8","Business"
"Tuesday","11","Business"
"Tuesday","9","Business"
"Wednesday","7","Business"
"Wednesday","8","Business"
"Wednesday","10","Business"
"Wednesday","9","Business"
"Thrusday","9","Business"
"Thrusday","6","Business"
"Thrusday","8","Business"
"Thrusday","8","Business"
"Friday","10","Business"
"Friday","9","Business"
"Friday","9","Business"
"Friday","8","Business"
"Monday","4","Sports"
"Monday","3","Sports"
"Monday","5","Sports"
"Monday","6","Sports"
"Tuesday","5","Sports"
"Tuesday","8","Sports"
"Tuesday","6","Sports"
"Tuesday","7","Sports"
"Wednesday","5","Sports"
"Wednesday","9","Sports"
"Wednesday","7","Sports"
"Wednesday","6","Sports"
"Thrusday","7","Sports"
"Thrusday","6","Sports"
"Thrusday","6","Sports"
"Thrusday","5","Sports"
"Friday","12","Sports"
"Friday","10","Sports"
"Friday","11","Sports"
"Friday","12","Sports"
